angle,azimuth,date,hour,power
50,180,2024-03-24,20,0.0
50,180,2024-03-24,21,0.0
50,180,2024-03-25,6,0.0
50,180,2024-03-25,20,0.0
50,180,2024-03-25,21,0.0
50,180,2024-03-26,6,0.0
50,180,2024-03-26,20,0.0
50,180,2024-03-26,21,0.0
50,180,2024-03-27,6,0.0
50,180,2024-03-27,20,0.0
50,180,2024-03-27,21,0.0
50,180,2024-03-28,6,0.0
50,180,2024-03-28,20,0.0
50,180,2024-03-28,21,0.0
50,180,2024-03-29,6,0.0
50,180,2024-03-29,20,0.0
50,180,2024-03-29,21,0.0
50,180,2024-03-30,6,0.0
50,180,2024-03-30,20,0.0
50,180,2024-03-30,21,0.0
50,180,2024-03-31,6,0.0
50,180,2024-03-31,7,0.0
50,180,2024-03-31,21,0.0
50,180,2024-04-01,6,0.0
50,180,2024-04-01,7,0.0
50,180,2024-04-01,21,0.0
50,180,2024-04-02,6,0.0
50,180,2024-04-02,7,0.0
50,180,2024-04-02,21,0.0
50,180,2024-04-03,6,0.0
50,180,2024-04-03,7,0.0
50,180,2024-04-03,21,0.0
50,180,2024-04-04,6,0.0
50,180,2024-04-04,7,0.0
50,180,2024-04-04,21,0.0
50,180,2024-04-05,6,0.0
50,180,2024-04-05,7,0.0
50,180,2024-04-05,21,0.0
50,180,2024-04-06,6,0.0
50,180,2024-04-06,7,0.0
50,180,2024-04-06,21,0.0
50,180,2024-04-07,6,0.0
50,180,2024-04-07,7,0.0
50,180,2024-04-07,21,0.0
50,180,2024-04-08,6,0.0
50,180,2024-04-08,7,0.0
50,180,2024-04-08,21,0.0
50,180,2024-04-09,6,0.0
50,180,2024-04-09,7,0.0
50,180,2024-04-09,21,0.0
50,180,2024-04-10,6,0.0
50,180,2024-04-10,21,0.0
50,180,2024-04-11,6,0.0
50,180,2024-04-11,21,0.0
50,180,2024-04-12,6,0.0
50,180,2024-04-12,21,0.0
50,180,2024-04-13,6,0.0
50,180,2024-04-13,21,0.0
50,180,2024-04-14,6,0.0
50,180,2024-04-14,21,0.0
50,180,2024-04-15,6,0.0
50,180,2024-04-15,21,0.0
50,180,2024-04-16,6,0.0
50,180,2024-04-16,21,0.0
50,180,2024-04-17,6,0.0
50,180,2024-04-17,21,0.0
50,180,2024-04-18,6,0.0
50,180,2024-04-18,21,0.0
50,180,2024-04-19,6,0.0
50,180,2024-04-19,21,0.0
50,180,2024-04-20,6,0.0
50,180,2024-04-20,21,0.0
50,180,2024-04-21,6,0.0
50,180,2024-04-21,21,0.0
50,180,2024-04-22,6,0.0
50,180,2024-04-22,21,0.0
50,180,2024-04-23,6,0.0
50,180,2024-04-23,21,0.0
50,180,2024-04-24,6,0.0
50,180,2024-04-24,21,0.0
50,180,2024-04-25,6,0.0
50,180,2024-04-25,21,0.0
50,180,2024-04-26,6,0.0
50,180,2024-04-26,21,0.0
50,180,2024-04-27,6,0.0
50,180,2024-04-27,21,0.0
50,180,2024-04-28,6,0.0
50,180,2024-04-28,21,0.0
50,180,2024-04-29,6,0.0
50,180,2024-04-30,6,0.0
50,180,2024-05-01,6,0.0
50,180,2024-05-02,6,0.0
50,180,2024-05-03,6,0.0
50,180,2024-05-04,6,0.0
50,180,2024-05-05,6,0.0
50,180,2024-05-06,6,0.0
50,180,2024-05-07,6,0.0
50,180,2024-05-08,6,0.0
50,180,2024-05-09,6,0.0
50,180,2024-05-10,6,0.0
50,190,2024-03-21,6,0.0
50,190,2024-03-21,19,0.0
50,190,2024-03-21,20,0.0
50,190,2024-03-21,21,0.0
50,190,2024-03-22,6,0.0
50,190,2024-03-22,19,0.0
50,190,2024-03-22,20,0.0
50,190,2024-03-22,21,0.0
50,190,2024-03-23,6,0.0
50,190,2024-03-23,19,0.0
50,190,2024-03-23,20,0.0
50,190,2024-03-23,21,0.0
50,190,2024-03-24,6,0.0
50,190,2024-03-24,20,0.0
50,190,2024-03-24,21,0.0
50,190,2024-03-25,6,0.0
50,190,2024-03-25,20,0.0
50,190,2024-03-25,21,0.0
50,190,2024-03-26,6,0.0
50,190,2024-03-26,20,0.0
50,190,2024-03-26,21,0.0
50,190,2024-03-27,6,0.0
50,190,2024-03-27,20,0.0
50,190,2024-03-27,21,0.0
50,190,2024-03-28,6,0.0
50,190,2024-03-28,20,0.0
50,190,2024-03-28,21,0.0
50,190,2024-03-29,6,0.0
50,190,2024-03-29,20,0.0
50,190,2024-03-29,21,0.0
50,190,2024-03-30,6,0.0
50,190,2024-03-30,20,0.0
50,190,2024-03-30,21,0.0
50,190,2024-03-31,6,0.0
50,190,2024-03-31,7,0.0
50,190,2024-03-31,21,0.0
50,190,2024-04-01,6,0.0
50,190,2024-04-01,7,0.0
50,190,2024-04-01,21,0.0
50,190,2024-04-02,6,0.0
50,190,2024-04-02,7,0.0
50,190,2024-04-02,21,0.0
50,190,2024-04-03,6,0.0
50,190,2024-04-03,7,0.0
50,190,2024-04-03,21,0.0
50,190,2024-04-04,6,0.0
50,190,2024-04-04,7,0.0
50,190,2024-04-04,21,0.0
50,190,2024-04-05,6,0.0
50,190,2024-04-05,7,0.0
50,190,2024-04-05,21,0.0
50,190,2024-04-06,6,0.0
50,190,2024-04-06,7,0.0
50,190,2024-04-06,21,0.0
50,190,2024-04-07,6,0.0
50,190,2024-04-07,7,0.0
50,190,2024-04-07,21,0.0
50,190,2024-04-08,6,0.0
50,190,2024-04-08,7,0.0
50,190,2024-04-08,21,0.0
50,190,2024-04-09,6,0.0
50,190,2024-04-09,7,0.0
50,190,2024-04-09,21,0.0
50,190,2024-04-10,6,0.0
50,190,2024-04-10,21,0.0
50,190,2024-04-11,6,0.0
50,190,2024-04-11,21,0.0
50,190,2024-04-12,6,0.0
50,190,2024-04-12,21,0.0
50,190,2024-04-13,6,0.0
50,190,2024-04-13,21,0.0
50,190,2024-04-14,6,0.0
50,190,2024-04-14,21,0.0
50,190,2024-04-15,6,0.0
50,190,2024-04-15,21,0.0
50,190,2024-04-16,6,0.0
50,190,2024-04-16,21,0.0
50,190,2024-04-17,6,0.0
50,190,2024-04-17,21,0.0
50,190,2024-04-18,6,0.0
50,190,2024-04-18,21,0.0
50,190,2024-04-19,6,0.0
50,190,2024-04-19,21,0.0
50,190,2024-04-20,6,0.0
50,190,2024-04-20,21,0.0
50,190,2024-04-21,6,0.0
50,190,2024-04-21,21,0.0
50,190,2024-04-22,6,0.0
50,190,2024-04-22,21,0.0
50,190,2024-04-23,6,0.0
50,190,2024-04-23,21,0.0
50,190,2024-04-24,6,0.0
50,190,2024-04-24,21,0.0
50,190,2024-04-25,6,0.0
50,190,2024-04-25,21,0.0
50,190,2024-04-26,6,0.0
50,190,2024-04-26,21,0.0
50,190,2024-04-27,6,0.0
50,190,2024-04-27,21,0.0
50,190,2024-04-28,6,0.0
50,190,2024-04-28,21,0.0
50,190,2024-04-29,6,0.0
50,190,2024-04-30,6,0.0
50,190,2024-05-01,6,0.0
50,190,2024-05-02,6,0.0
50,190,2024-05-03,6,0.0
50,190,2024-05-04,6,0.0
50,190,2024-05-05,6,0.0
50,190,2024-05-06,6,0.0
50,190,2024-05-07,6,0.0
50,190,2024-05-08,6,0.0
50,190,2024-05-09,6,0.0
50,190,2024-05-10,6,0.0
50,200,2024-03-21,6,0.0
50,200,2024-03-21,19,0.0
50,200,2024-03-21,20,0.0
50,200,2024-03-21,21,0.0
50,200,2024-03-22,6,0.0
50,200,2024-03-22,19,0.0
50,200,2024-03-22,20,0.0
50,200,2024-03-22,21,0.0
50,200,2024-03-23,6,0.0
50,200,2024-03-23,19,0.0
50,200,2024-03-23,20,0.0
50,200,2024-03-23,21,0.0
50,200,2024-03-24,6,0.0
50,200,2024-03-24,20,0.0
50,200,2024-03-24,21,0.0
50,200,2024-03-25,6,0.0
50,200,2024-03-25,20,0.0
50,200,2024-03-25,21,0.0
50,200,2024-03-26,6,0.0
50,200,2024-03-26,20,0.0
50,200,2024-03-26,21,0.0
50,200,2024-03-27,6,0.0
50,200,2024-03-27,20,0.0
50,200,2024-03-27,21,0.0
50,200,2024-03-28,6,0.0
50,200,2024-03-28,20,0.0
50,200,2024-03-28,21,0.0
50,200,2024-03-29,6,0.0
50,200,2024-03-29,20,0.0
50,200,2024-03-29,21,0.0
50,200,2024-03-30,6,0.0
50,200,2024-03-30,20,0.0
50,200,2024-03-30,21,0.0
50,200,2024-03-31,6,0.0
50,200,2024-03-31,7,0.0
50,200,2024-03-31,21,0.0
50,200,2024-04-01,6,0.0
50,200,2024-04-01,7,0.0
50,200,2024-04-01,21,0.0
50,200,2024-04-02,6,0.0
50,200,2024-04-02,7,0.0
50,200,2024-04-02,21,0.0
50,200,2024-04-03,6,0.0
50,200,2024-04-03,7,0.0
50,200,2024-04-03,21,0.0
50,200,2024-04-04,6,0.0
50,200,2024-04-04,7,0.0
50,200,2024-04-04,21,0.0
50,200,2024-04-05,6,0.0
50,200,2024-04-05,7,0.0
50,200,2024-04-05,21,0.0
50,200,2024-04-06,6,0.0
50,200,2024-04-06,7,0.0
50,200,2024-04-06,21,0.0
50,200,2024-04-07,6,0.0
50,200,2024-04-07,7,0.0
50,200,2024-04-07,21,0.0
50,200,2024-04-08,6,0.0
50,200,2024-04-08,7,0.0
50,200,2024-04-08,21,0.0
50,200,2024-04-09,6,0.0
50,200,2024-04-09,7,0.0
50,200,2024-04-09,21,0.0
50,200,2024-04-10,6,0.0
50,200,2024-04-10,21,0.0
50,200,2024-04-11,6,0.0
50,200,2024-04-11,21,0.0
50,200,2024-04-12,6,0.0
50,200,2024-04-12,21,0.0
50,200,2024-04-13,6,0.0
50,200,2024-04-13,21,0.0
50,200,2024-04-14,6,0.0
50,200,2024-04-14,21,0.0
50,200,2024-04-15,6,0.0
50,200,2024-04-15,21,0.0
50,200,2024-04-16,6,0.0
50,200,2024-04-16,21,0.0
50,200,2024-04-17,6,0.0
50,200,2024-04-17,21,0.0
50,200,2024-04-18,6,0.0
50,200,2024-04-18,21,0.0
50,200,2024-04-19,6,0.0
50,200,2024-04-19,21,0.0
50,200,2024-04-20,6,0.0
50,200,2024-04-20,21,0.0
50,200,2024-04-21,6,0.0
50,200,2024-04-21,21,0.0
50,200,2024-04-22,6,0.0
50,200,2024-04-22,21,0.0
50,200,2024-04-23,6,0.0
50,200,2024-04-23,21,0.0
50,200,2024-04-24,6,0.0
50,200,2024-04-24,21,0.0
50,200,2024-04-25,6,0.0
50,200,2024-04-25,21,0.0
50,200,2024-04-26,6,0.0
50,200,2024-04-26,21,0.0
50,200,2024-04-27,6,0.0
50,200,2024-04-27,21,0.0
50,200,2024-04-28,6,0.0
50,200,2024-04-28,21,0.0
50,200,2024-04-29,6,0.0
50,200,2024-04-30,6,0.0
50,200,2024-05-01,6,0.0
50,200,2024-05-02,6,0.0
50,200,2024-05-03,6,0.0
50,200,2024-05-04,6,0.0
50,200,2024-05-05,6,0.0
50,200,2024-05-06,6,0.0
50,200,2024-05-07,6,0.0
50,200,2024-05-08,6,0.0
50,200,2024-05-09,6,0.0
50,200,2024-05-10,6,0.0
50,210,2024-03-21,6,0.0
50,210,2024-03-21,19,0.0
50,210,2024-03-21,20,0.0
50,210,2024-03-21,21,0.0
50,210,2024-03-22,6,0.0
50,210,2024-03-22,19,0.0
50,210,2024-03-22,20,0.0
50,210,2024-03-22,21,0.0
50,210,2024-03-23,6,0.0
50,210,2024-03-23,19,0.0
50,210,2024-03-23,20,0.0
50,210,2024-03-23,21,0.0
50,210,2024-03-24,6,0.0
50,210,2024-03-24,20,0.0
50,210,2024-03-24,21,0.0
50,210,2024-03-25,6,0.0
50,210,2024-03-25,20,0.0
50,210,2024-03-25,21,0.0
50,210,2024-03-26,6,0.0
50,210,2024-03-26,20,0.0
50,210,2024-03-26,21,0.0
50,210,2024-03-27,6,0.0
50,210,2024-03-27,20,0.0
50,210,2024-03-27,21,0.0
50,210,2024-03-28,6,0.0
50,210,2024-03-28,20,0.0
50,210,2024-03-28,21,0.0
50,210,2024-03-29,6,0.0
50,210,2024-03-29,20,0.0
50,210,2024-03-29,21,0.0
50,210,2024-03-30,6,0.0
50,210,2024-03-30,20,0.0
50,210,2024-03-30,21,0.0
50,210,2024-03-31,6,0.0
50,210,2024-03-31,7,0.0
50,210,2024-03-31,21,0.0
50,210,2024-04-01,6,0.0
50,210,2024-04-01,7,0.0
50,210,2024-04-01,21,0.0
50,210,2024-04-02,6,0.0
50,210,2024-04-02,7,0.0
50,210,2024-04-02,21,0.0
50,210,2024-04-03,6,0.0
50,210,2024-04-03,7,0.0
50,210,2024-04-03,21,0.0
50,210,2024-04-04,6,0.0
50,210,2024-04-04,7,0.0
50,210,2024-04-04,21,0.0
50,210,2024-04-05,6,0.0
50,210,2024-04-05,7,0.0
50,210,2024-04-05,21,0.0
50,210,2024-04-06,6,0.0
50,210,2024-04-06,7,0.0
50,210,2024-04-06,21,0.0
50,210,2024-04-07,6,0.0
50,210,2024-04-07,7,0.0
50,210,2024-04-07,21,0.0
50,210,2024-04-08,6,0.0
50,210,2024-04-08,7,0.0
50,210,2024-04-08,21,0.0
50,210,2024-04-09,6,0.0
50,210,2024-04-09,7,0.0
50,210,2024-04-09,21,0.0
50,210,2024-04-10,6,0.0
50,210,2024-04-10,21,0.0
50,210,2024-04-11,6,0.0
50,210,2024-04-11,21,0.0
50,210,2024-04-12,6,0.0
50,210,2024-04-12,21,0.0
50,210,2024-04-13,6,0.0
50,210,2024-04-13,21,0.0
50,210,2024-04-14,6,0.0
50,210,2024-04-14,21,0.0
50,210,2024-04-15,6,0.0
50,210,2024-04-15,21,0.0
50,210,2024-04-16,6,0.0
50,210,2024-04-16,21,0.0
50,210,2024-04-17,6,0.0
50,210,2024-04-17,21,0.0
50,210,2024-04-18,6,0.0
50,210,2024-04-18,21,0.0
50,210,2024-04-19,6,0.0
50,210,2024-04-19,21,0.0
50,210,2024-04-20,6,0.0
50,210,2024-04-20,21,0.0
50,210,2024-04-21,6,0.0
50,210,2024-04-21,21,0.0
50,210,2024-04-22,6,0.0
50,210,2024-04-22,21,0.0
50,210,2024-04-23,6,0.0
50,210,2024-04-23,21,0.0
50,210,2024-04-24,6,0.0
50,210,2024-04-24,21,0.0
50,210,2024-04-25,6,0.0
50,210,2024-04-25,21,0.0
50,210,2024-04-26,6,0.0
50,210,2024-04-26,21,0.0
50,210,2024-04-27,6,0.0
50,210,2024-04-27,21,0.0
50,210,2024-04-28,6,0.0
50,210,2024-04-28,21,0.0
50,210,2024-04-29,6,0.0
50,210,2024-04-30,6,0.0
50,210,2024-05-01,6,0.0
50,210,2024-05-02,6,0.0
50,210,2024-05-03,6,0.0
50,210,2024-05-04,6,0.0
50,210,2024-05-05,6,0.0
50,210,2024-05-06,6,0.0
50,210,2024-05-07,6,0.0
50,210,2024-05-08,6,0.0
50,210,2024-05-09,6,0.0
50,210,2024-05-10,6,0.0
50,220,2024-03-21,6,0.0
50,220,2024-03-21,19,0.0
50,220,2024-03-21,20,0.0
50,220,2024-03-21,21,0.0
50,220,2024-03-22,6,0.0
50,220,2024-03-22,19,0.0
50,220,2024-03-22,20,0.0
50,220,2024-03-22,21,0.0
50,220,2024-03-23,6,0.0
50,220,2024-03-23,19,0.0
50,220,2024-03-23,20,0.0
50,220,2024-03-23,21,0.0
50,220,2024-03-24,6,0.0
50,220,2024-03-24,20,0.0
50,220,2024-03-24,21,0.0
50,220,2024-03-25,6,0.0
50,220,2024-03-25,20,0.0
50,220,2024-03-25,21,0.0
50,220,2024-03-26,6,0.0
50,220,2024-03-26,20,0.0
50,220,2024-03-26,21,0.0
50,220,2024-03-27,6,0.0
50,220,2024-03-27,20,0.0
50,220,2024-03-27,21,0.0
50,220,2024-03-28,6,0.0
50,220,2024-03-28,20,0.0
50,220,2024-03-28,21,0.0
50,220,2024-03-29,6,0.0
50,220,2024-03-29,20,0.0
50,220,2024-03-29,21,0.0
50,220,2024-03-30,6,0.0
50,220,2024-03-30,20,0.0
50,220,2024-03-30,21,0.0
50,220,2024-03-31,6,0.0
50,220,2024-03-31,7,0.0
50,220,2024-03-31,21,0.0
50,220,2024-04-01,6,0.0
50,220,2024-04-01,7,0.0
50,220,2024-04-01,21,0.0
50,220,2024-04-02,6,0.0
50,220,2024-04-02,7,0.0
50,220,2024-04-02,21,0.0
50,220,2024-04-03,6,0.0
50,220,2024-04-03,7,0.0
50,220,2024-04-03,21,0.0
50,220,2024-04-04,6,0.0
50,220,2024-04-04,7,0.0
50,220,2024-04-04,21,0.0
50,220,2024-04-05,6,0.0
50,220,2024-04-05,7,0.0
50,220,2024-04-05,21,0.0
50,220,2024-04-06,6,0.0
50,220,2024-04-06,7,0.0
50,220,2024-04-06,21,0.0
50,220,2024-04-07,6,0.0
50,220,2024-04-07,7,0.0
50,220,2024-04-07,21,0.0
50,220,2024-04-08,6,0.0
50,220,2024-04-08,7,0.0
50,220,2024-04-08,21,0.0
50,220,2024-04-09,6,0.0
50,220,2024-04-09,7,0.0
50,220,2024-04-09,21,0.0
50,220,2024-04-10,6,0.0
50,220,2024-04-10,21,0.0
50,220,2024-04-11,6,0.0
50,220,2024-04-11,21,0.0
50,220,2024-04-12,6,0.0
50,220,2024-04-12,21,0.0
50,220,2024-04-13,6,0.0
50,220,2024-04-13,21,0.0
50,220,2024-04-14,6,0.0
50,220,2024-04-14,21,0.0
50,220,2024-04-15,6,0.0
50,220,2024-04-15,21,0.0
50,220,2024-04-16,6,0.0
50,220,2024-04-16,21,0.0
50,220,2024-04-17,6,0.0
50,220,2024-04-17,21,0.0
50,220,2024-04-18,6,0.0
50,220,2024-04-18,21,0.0
50,220,2024-04-19,6,0.0
50,220,2024-04-19,21,0.0
50,220,2024-04-20,6,0.0
50,220,2024-04-20,21,0.0
50,220,2024-04-21,6,0.0
50,220,2024-04-21,21,0.0
50,220,2024-04-22,6,0.0
50,220,2024-04-22,21,0.0
50,220,2024-04-23,6,0.0
50,220,2024-04-23,21,0.0
50,220,2024-04-24,6,0.0
50,220,2024-04-24,21,0.0
50,220,2024-04-25,6,0.0
50,220,2024-04-25,21,0.0
50,220,2024-04-26,6,0.0
50,220,2024-04-26,21,0.0
50,220,2024-04-27,6,0.0
50,220,2024-04-27,21,0.0
50,220,2024-04-28,6,0.0
50,220,2024-04-28,21,0.0
50,220,2024-04-29,6,0.0
50,220,2024-04-30,6,0.0
50,220,2024-05-01,6,0.0
50,220,2024-05-02,6,0.0
50,220,2024-05-03,6,0.0
50,220,2024-05-04,6,0.0
50,220,2024-05-05,6,0.0
50,220,2024-05-06,6,0.0
50,220,2024-05-07,6,0.0
50,220,2024-05-08,6,0.0
50,220,2024-05-09,6,0.0
50,220,2024-05-10,6,0.0
60,140,2024-03-21,6,0.0
60,140,2024-03-21,19,0.0
60,140,2024-03-21,20,0.0
60,140,2024-03-21,21,0.0
60,140,2024-03-22,6,0.0
60,140,2024-03-22,19,0.0
60,140,2024-03-22,20,0.0
60,140,2024-03-22,21,0.0
60,140,2024-03-23,6,0.0
60,140,2024-03-23,19,0.0
60,140,2024-03-23,20,0.0
60,140,2024-03-23,21,0.0
60,140,2024-03-24,6,0.0
60,140,2024-03-24,20,0.0
60,140,2024-03-24,21,0.0
60,140,2024-03-25,6,0.0
60,140,2024-03-25,20,0.0
60,140,2024-03-25,21,0.0
60,140,2024-03-26,6,0.0
60,140,2024-03-26,20,0.0
60,140,2024-03-26,21,0.0
60,140,2024-03-27,6,0.0
60,140,2024-03-27,20,0.0
60,140,2024-03-27,21,0.0
60,140,2024-03-28,6,0.0
60,140,2024-03-28,20,0.0
60,140,2024-03-28,21,0.0
60,140,2024-03-29,6,0.0
60,140,2024-03-29,20,0.0
60,140,2024-03-29,21,0.0
60,140,2024-03-30,6,0.0
60,140,2024-03-30,20,0.0
60,140,2024-03-30,21,0.0
60,140,2024-03-31,6,0.0
60,140,2024-03-31,7,0.0
60,140,2024-03-31,21,0.0
60,140,2024-04-01,6,0.0
60,140,2024-04-01,7,0.0
60,140,2024-04-01,21,0.0
60,140,2024-04-02,6,0.0
60,140,2024-04-02,7,0.0
60,140,2024-04-02,21,0.0
60,140,2024-04-03,6,0.0
60,140,2024-04-03,7,0.0
60,140,2024-04-03,21,0.0
60,140,2024-04-04,6,0.0
60,140,2024-04-04,7,0.0
60,140,2024-04-04,21,0.0
60,140,2024-04-05,6,0.0
60,140,2024-04-05,7,0.0
60,140,2024-04-05,21,0.0
60,140,2024-04-06,6,0.0
60,140,2024-04-06,7,0.0
60,140,2024-04-06,21,0.0
60,140,2024-04-07,6,0.0
60,140,2024-04-07,7,0.0
60,140,2024-04-07,21,0.0
60,140,2024-04-08,6,0.0
60,140,2024-04-08,7,0.0
60,140,2024-04-08,21,0.0
60,140,2024-04-09,6,0.0
60,140,2024-04-09,7,0.0
60,140,2024-04-09,21,0.0
60,140,2024-04-10,6,0.0
60,140,2024-04-10,21,0.0
60,140,2024-04-11,6,0.0
60,140,2024-04-11,21,0.0
60,140,2024-04-12,6,0.0
60,140,2024-04-12,21,0.0
60,140,2024-04-13,6,0.0
60,140,2024-04-13,21,0.0
60,140,2024-04-14,6,0.0
60,140,2024-04-14,21,0.0
60,140,2024-04-15,6,0.0
60,140,2024-04-15,21,0.0
60,140,2024-04-16,6,0.0
60,140,2024-04-16,21,0.0
60,140,2024-04-17,6,0.0
60,140,2024-04-17,21,0.0
60,140,2024-04-18,6,0.0
60,140,2024-04-18,21,0.0
60,140,2024-04-19,6,0.0
60,140,2024-04-19,21,0.0
60,140,2024-04-20,6,0.0
60,140,2024-04-20,21,0.0
60,140,2024-04-21,6,0.0
60,140,2024-04-21,21,0.0
60,140,2024-04-22,6,0.0
60,140,2024-04-22,21,0.0
60,140,2024-04-23,6,0.0
60,140,2024-04-23,21,0.0
60,140,2024-04-24,6,0.0
60,140,2024-04-24,21,0.0
60,140,2024-04-25,6,0.0
60,140,2024-04-25,21,0.0
60,140,2024-04-26,6,0.0
60,140,2024-04-26,21,0.0
60,140,2024-04-27,6,0.0
60,140,2024-04-27,21,0.0
60,140,2024-04-28,6,0.0
60,140,2024-04-28,21,0.0
60,140,2024-04-29,6,0.0
60,140,2024-04-30,6,0.0
60,140,2024-05-01,6,0.0
60,140,2024-05-02,6,0.0
60,140,2024-05-03,6,0.0
60,140,2024-05-04,6,0.0
60,140,2024-05-05,6,0.0
60,140,2024-05-06,6,0.0
60,140,2024-05-07,6,0.0
60,140,2024-05-08,6,0.0
60,140,2024-05-09,6,0.0
60,140,2024-05-10,6,0.0
60,150,2024-03-21,6,0.0
60,150,2024-03-21,19,0.0
60,150,2024-03-21,20,0.0
60,150,2024-03-21,21,0.0
60,150,2024-03-22,6,0.0
60,150,2024-03-22,19,0.0
60,150,2024-03-22,20,0.0
60,150,2024-03-22,21,0.0
60,150,2024-03-23,6,0.0
60,150,2024-03-23,19,0.0
60,150,2024-03-23,20,0.0
60,150,2024-03-23,21,0.0
60,150,2024-03-24,6,0.0
60,150,2024-03-24,20,0.0
60,150,2024-03-24,21,0.0
60,150,2024-03-25,6,0.0
60,150,2024-03-25,20,0.0
60,150,2024-03-25,21,0.0
60,150,2024-03-26,6,0.0
60,150,2024-03-26,20,0.0
60,150,2024-03-26,21,0.0
60,150,2024-03-27,6,0.0
60,150,2024-03-27,20,0.0
60,150,2024-03-27,21,0.0
60,150,2024-03-28,6,0.0
60,150,2024-03-28,20,0.0
60,150,2024-03-28,21,0.0
60,150,2024-03-29,6,0.0
60,150,2024-03-29,20,0.0
60,150,2024-03-29,21,0.0
60,150,2024-03-30,6,0.0
60,150,2024-03-30,20,0.0
60,150,2024-03-30,21,0.0
60,150,2024-03-31,6,0.0
60,150,2024-03-31,7,0.0
60,150,2024-03-31,21,0.0
60,150,2024-04-01,6,0.0
60,150,2024-04-01,7,0.0
60,150,2024-04-01,21,0.0
60,150,2024-04-02,6,0.0
60,150,2024-04-02,7,0.0
60,150,2024-04-02,21,0.0
60,150,2024-04-03,6,0.0
60,150,2024-04-03,7,0.0
60,150,2024-04-03,21,0.0
60,150,2024-04-04,6,0.0
60,150,2024-04-04,7,0.0
60,150,2024-04-04,21,0.0
60,150,2024-04-05,6,0.0
60,150,2024-04-05,7,0.0
60,150,2024-04-05,21,0.0
60,150,2024-04-06,6,0.0
60,150,2024-04-06,7,0.0
60,150,2024-04-06,21,0.0
60,150,2024-04-07,6,0.0
60,150,2024-04-07,7,0.0
60,150,2024-04-07,21,0.0
60,150,2024-04-08,6,0.0
60,150,2024-04-08,7,0.0
60,150,2024-04-08,21,0.0
60,150,2024-04-09,6,0.0
60,150,2024-04-09,7,0.0
60,150,2024-04-09,21,0.0
60,150,2024-04-10,6,0.0
60,150,2024-04-10,21,0.0
60,150,2024-04-11,6,0.0
60,150,2024-04-11,21,0.0
60,150,2024-04-12,6,0.0
60,150,2024-04-12,21,0.0
60,150,2024-04-13,6,0.0
60,150,2024-04-13,21,0.0
60,150,2024-04-14,6,0.0
60,150,2024-04-14,21,0.0
60,150,2024-04-15,6,0.0
60,150,2024-04-15,21,0.0
60,150,2024-04-16,6,0.0
60,150,2024-04-16,21,0.0
60,150,2024-04-17,6,0.0
60,150,2024-04-17,21,0.0
60,150,2024-04-18,6,0.0
60,150,2024-04-18,21,0.0
60,150,2024-04-19,6,0.0
60,150,2024-04-19,21,0.0
60,150,2024-04-20,6,0.0
60,150,2024-04-20,21,0.0
60,150,2024-04-21,6,0.0
60,150,2024-04-21,21,0.0
60,150,2024-04-22,6,0.0
60,150,2024-04-22,21,0.0
60,150,2024-04-23,6,0.0
60,150,2024-04-23,21,0.0
60,150,2024-04-24,6,0.0
60,150,2024-04-24,21,0.0
60,150,2024-04-25,6,0.0
60,150,2024-04-25,21,0.0
60,150,2024-04-26,6,0.0
60,150,2024-04-26,21,0.0
60,150,2024-04-27,6,0.0
60,150,2024-04-27,21,0.0
60,150,2024-04-28,6,0.0
60,150,2024-04-28,21,0.0
60,150,2024-04-29,6,0.0
60,150,2024-04-30,6,0.0
60,150,2024-05-01,6,0.0
60,150,2024-05-02,6,0.0
60,150,2024-05-03,6,0.0
60,150,2024-05-04,6,0.0
60,150,2024-05-05,6,0.0
60,150,2024-05-06,6,0.0
60,150,2024-05-07,6,0.0
60,150,2024-05-08,6,0.0
60,150,2024-05-09,6,0.0
60,150,2024-05-10,6,0.0
60,160,2024-03-21,6,0.0
60,160,2024-03-21,19,0.0
60,160,2024-03-21,20,0.0
60,160,2024-03-21,21,0.0
60,160,2024-03-22,6,0.0
60,160,2024-03-22,19,0.0
60,160,2024-03-22,20,0.0
60,160,2024-03-22,21,0.0
60,160,2024-03-23,6,0.0
60,160,2024-03-23,19,0.0
60,160,2024-03-23,20,0.0
60,160,2024-03-23,21,0.0
60,160,2024-03-24,6,0.0
60,160,2024-03-24,20,0.0
60,160,2024-03-24,21,0.0
60,160,2024-03-25,6,0.0
60,160,2024-03-25,20,0.0
60,160,2024-03-25,21,0.0
60,160,2024-03-26,6,0.0
60,160,2024-03-26,20,0.0
60,160,2024-03-26,21,0.0
60,160,2024-03-27,6,0.0
60,160,2024-03-27,20,0.0
60,160,2024-03-27,21,0.0
60,160,2024-03-28,6,0.0
60,160,2024-03-28,20,0.0
60,160,2024-03-28,21,0.0
60,160,2024-03-29,6,0.0
60,160,2024-03-29,20,0.0
60,160,2024-03-29,21,0.0
60,160,2024-03-30,6,0.0
60,160,2024-03-30,20,0.0
60,160,2024-03-30,21,0.0
60,160,2024-03-31,6,0.0
60,160,2024-03-31,7,0.0
60,160,2024-03-31,21,0.0
60,160,2024-04-01,6,0.0
60,160,2024-04-01,7,0.0
60,160,2024-04-01,21,0.0
60,160,2024-04-02,6,0.0
60,160,2024-04-02,7,0.0
60,160,2024-04-02,21,0.0
60,160,2024-04-03,6,0.0
60,160,2024-04-03,7,0.0
